Unnamed: 0,post_id,profile,datetime,caption,num_likes,num_comments,file_location,company,platform,token_captions,academic_terms,apology_terms,awe_terms,channel_change_terms,compensation_terms,consensus_terms,disgust_terms,economic_terms,gratitude_terms,empathy_terms,explain_terms,intensity_terms,legal_terms,money_terms,morality_terms,male_pronouns,female_pronouns,purpose_terms,respect_terms,bigness_terms,smallness_terms,speculation_terms,overstated_terms,understated_terms,power_terms,wellbeing_terms,exclamation_count,question_count,hashtag_count,mention_count,caption_length,type_token_ratio,informativeness,narrativity,syntax_complexity,cb_ratio,tense_past,tense_present,joy,anger,abstract_concrete_score,familiarity_score,mistakes_count,percept_dist,whissell_pleasant,whissell_active,whissell_image
0,101799000000000.0,bectondickinsonandco,2023-06-21T21:34:55.000Z,,8,0,['/Dropbox/Message Consistency/01_Scraped Data/Fortune 500/03_Facebook/images/bectondickinsonandco/BectonDickinsonandCo_101799492966801_1.jpg'],Becton Dickinson,facebook,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,,,,,0,0.0,0.0,0.0,0.0
1,108799000000000.0,nordstrom,2023-06-17T18:00:12.000Z,Join friend to the brand Chriselle Lim and Nordstrom Beauty Director Autumne West for an intimate conversation as they celebrate the 5-year anniversary of Augustinus Bader. Discover why this is The One That Works.,65,30,['/Dropbox/Message Consistency/01_Scraped Data/Fortune 500/03_Facebook/images/nordstrom/Nordstrom_108799482250938_1.jpg'],Nordstrom,facebook,"['Join', 'friend', 'to', 'the', 'brand', 'Chriselle', 'Lim', 'and', 'Nordstrom', 'Beauty', 'Director', 'Autumne', 'West', 'for', 'an', 'intimate', 'conversation', 'as', 'they', 'celebrate', 'the', '5-year', 'anniversary', 'of', 'Augustinus', 'Bader', '.', 'Discover', 'why', 'this', 'is', 'The', 'One', 'That', 'Works', '.']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,213,1.0,0.324,0.0,23.7,inf,0,2,0.2646,0.0,2.395185185185185,589.31,0,6.0,1.907058823529412,1.6394117647058823,1.447058823529412
2,108799000000000.0,nordstrom,2023-06-17T18:00:12.000Z,Join friend to the brand Chriselle Lim and Nordstrom Beauty Director Autumne West for an intimate conversation as they celebrate the 5-year anniversary of Augustinus Bader. Discover why this is The One That Works.,65,30,['/Dropbox/Message Consistency/01_Scraped Data/Fortune 500/03_Facebook/images/nordstrom/Nordstrom_108799482250938_1.jpg'],Nordstrom,facebook,"['Join', 'friend', 'to', 'the', 'brand', 'Chriselle', 'Lim', 'and', 'Nordstrom', 'Beauty', 'Director', 'Autumne', 'West', 'for', 'an', 'intimate', 'conversation', 'as', 'they', 'celebrate', 'the', '5-year', 'anniversary', 'of', 'Augustinus', 'Bader', '.', 'Discover', 'why', 'this', 'is', 'The', 'One', 'That', 'Works', '.']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,213,1.0,0.324,0.0,23.7,inf,0,2,0.2646,0.0,2.395185185185185,589.31,0,6.0,1.907058823529412,1.6394117647058823,1.447058823529412
3,108799000000000.0,nordstrom,2023-06-17T18:00:12.000Z,Join friend to the brand Chriselle Lim and Nordstrom Beauty Director Autumne West for an intimate conversation as they celebrate the 5-year anniversary of Augustinus Bader. Discover why this is The One That Works.,65,30,['/Dropbox/Message Consistency/01_Scraped Data/Fortune 500/03_Facebook/images/nordstrom/Nordstrom_108799482250938_1.jpg'],Nordstrom,facebook,"['Join', 'friend', 'to', 'the', 'brand', 'Chriselle', 'Lim', 'and', 'Nordstrom', 'Beauty', 'Director', 'Autumne', 'West', 'for', 'an', 'intimate', 'conversation', 'as', 'they', 'celebrate', 'the', '5-year', 'anniversary', 'of', 'Augustinus', 'Bader', '.', 'Discover', 'why', 'this', 'is', 'The', 'One', 'That', 'Works', '.']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,213,1.0,0.324,0.0,23.7,inf,0,2,0.2646,0.0,2.395185185185185,589.31,0,6.0,1.907058823529412,1.6394117647058823,1.447058823529412
4,113991000000000.0,swift.transportation,2023-09-06T16:17:46.000Z,,16,0,['/Dropbox/Message Consistency/01_Scraped Data/Fortune 500/03_Facebook/images/swift.transportation/swift.transportation_113991368469682_1.jpg'],Knight-Swift Transportation Holdings,facebook,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,,,,,0,0.0,0.0,0.0,0.0
5,132248000000000.0,sinclairoilcorp,2023-08-15T19:44:55.000Z,,22,7,['/Dropbox/Message Consistency/01_Scraped Data/Fortune 500/03_Facebook/images/sinclairoilcorp/SinclairOilCorp_132248356605700_1.jpg'],HF Sinclair,facebook,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,,,,,0,0.0,0.0,0.0,0.0
6,132248000000000.0,sinclairoilcorp,2023-08-15T19:44:55.000Z,,22,7,['/Dropbox/Message Consistency/01_Scraped Data/Fortune 500/03_Facebook/images/sinclairoilcorp/SinclairOilCorp_132248356605700_1.jpg'],HF Sinclair,facebook,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,,,,,0,0.0,0.0,0.0,0.0
7,132248000000000.0,sinclairoilcorp,2023-08-15T19:44:55.000Z,,22,7,['/Dropbox/Message Consistency/01_Scraped Data/Fortune 500/03_Facebook/images/sinclairoilcorp/SinclairOilCorp_132248356605700_1.jpg'],HF Sinclair,facebook,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,,,,,0,0.0,0.0,0.0,0.0
8,136305000000000.0,consumersenergymichigan,2023-08-23T15:19:00.000Z,,5,0,['/Dropbox/Message Consistency/01_Scraped Data/Fortune 500/03_Facebook/images/consumersenergymichigan/ConsumersEnergyMichigan_136304989533859_1.jpg'],CMS Energy,facebook,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,,,,,0,0.0,0.0,0.0,0.0
9,138884000000000.0,pultehomes,2023-10-04T17:07:17.000Z,,4,2,['/Dropbox/Message Consistency/01_Scraped Data/Fortune 500/03_Facebook/images/pultehomes/PulteHomes_138884482641094_1.jpg'],PulteGroup,facebook,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,,,,,0,0.0,0.0,0.0,0.0
